"CODE";"COMPANY";"SECTOR";"SECOND_SECTOR";"STOCK_PRICE";"STOCK_TYPE";"VALUATION";"STOCK_AVAILABLE_AMOUNT";"AVG_21_NEGOCIATION";"DIVIDEND_PERIOD";"DIVIDEND_LAST_PRICE";"DIVIDEND_TOTAL_VALUE_SHARED";"NET_PROFIT";"DIVIDEND_YELD";"AVG_PAYOUT_12_MONTHS";"AVG_PAYOUT_5_YEARS";"MAJOR_SHARE_HOLDER"
"ABCB3";"Banco Abc Brasil S/A";"Finanças e Seguros";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;226619.0;0.0;0.0;0.0;""
"ABNB3";"American Banknote S/A";"Outros";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;23396.0;0.0;0.0;0.0;""
"ACGU3";"Açucar Guarani S/A";"Alimentos e Bebidas";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-472.0;0.0;0.0;0.0;""
"AEDU3";"Anhanguera Educacional Participacoes S/A";"Outros";"";13.53;"ON";0.0;0.0;0.0;0.0;0.0;0.0;47928.0;0.0;0.0;0.0;""
"AELP3";"AES Elpa S/A";"Energia Elétrica";"";9.04;"ON";0.0;0.0;0.0;0.0;0.0;0.0;43840.0;0.0;0.0;0.0;""
"AFLU3";"Afluente Geracao e Transmissao de Energia Eletrica S/A";"Energia Elétrica";"";5.82;"ON";0.0;0.0;0.0;0.0;0.0;0.0;3100.0;0.0;0.0;0.0;""
"AGEI3";"Agre Empreendimentos Imobiliários S/A";"Construção";"";7.8;"ON";0.0;0.0;0.0;0.0;0.0;0.0;43755.0;0.0;0.0;0.0;""
"AGEN11";"Agrenco Ltd";"Agro e Pesca";"";0.58;"ON";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"AGRO3";"Brasilagro Cia Bras Propriedades Agricol";"Agro e Pesca";"";10.82;"ON";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"AHEB3";"Sao Paulo Turismo S/A";"Outros";"";19.5;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-7938.0;0.0;0.0;0.0;""
"ALLL3";"All - America Latina Logistica S/A";"Transporte e Serviços";"";11.03;"ON";0.0;0.0;0.0;0.0;0.0;0.0;243367.0;0.0;0.0;0.0;""
"ALPA3";"Sao Paulo Alpargatas S/A";"Têxtil";"";13.45;"ON";0.0;0.0;0.0;0.0;0.0;0.0;74113.0;0.0;0.0;0.0;""
"ALSC3";"Aliansce Shopping Centers S/A";"Outros";"";23.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;16793.0;0.0;0.0;0.0;""
"AMBV3";"Companhia de Bebidas Das Americas-Ambev";"Alimentos e Bebidas";"";83.77;"ON";0.0;0.0;0.0;0.0;0.0;0.0;10508066.0;0.0;0.0;0.0;""
"AMCE3";"Americel S/A";"Telecomunicações";"";5.01;"ON";0.0;0.0;0.0;0.0;0.0;0.0;30361.0;0.0;0.0;0.0;""
"AMIL3";"Amil Participações S/A";"Outros";"";32.2;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-226532.0;0.0;0.0;0.0;""
"AMPI3";"Ampla Investimentos e Servicos S/A";"Energia Elétrica";"";55.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;17031.0;0.0;0.0;0.0;""
"ANDG3B";"Andrade Gutierrez Concessoes S/A";"Transporte e Serviços";"";13.25;"ON";0.0;0.0;0.0;0.0;0.0;0.0;191082.0;0.0;0.0;0.0;""
"APTI3";"Siderurgica J L Aliperti S/A";"Siderurgia & Metalurgia";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1587.0;0.0;0.0;0.0;""
