"STOCK_CODE";"COMPANY";"SECTOR";"SECOND_SECTOR";"STOCK_PRICE";"STOCK_TYPE";"VALUATION";"STOCK_AVAILABLE_AMOUNT";"AVG_21_NEGOCIATION";"DIVIDEND_PERIOD";"DIVIDEND_LAST_PRICE";"DIVIDEND_TOTAL_VALUE_SHARED";"NET_PROFIT";"DIVIDEND_YELD";"AVG_PAYOUT_12_MONTHS";"AVG_PAYOUT_5_YEARS";"MAJOR_SHARE_HOLDER"
"AALR3";"ALLIAR - CENTRO DE IMAGEM DIAGNOSTICOS S.A.";"Saúde";"Serviços Médico - Hospitalares, Análises e Diagnósticos";13.29;"ON";15721100000.0;118293000.0;3262490.0;0.0;0.0;0.0;10317000.0;0.0;0.0;0.0;""
"ABCB3";"ABC Brasil - BANCO ABC BRASIL S/A";"Financeiros";"Bancos";0.0;"ON";0.0;211133000.0;0.0;0.0;0.0;0.0;446918000.0;0.0;0.0;0.0;""
"ABEV3";"AMBEV S/A - AMBEV S.A.";"Bebidas";"Cervejas e Refrigerantes";15.14;"ON";2380330000000.0;15722100000.0;317690000.0;0.0;0.0;3549243869.565217;10783700000.0;0.015;0.32913;0.0;"Interbrew International BV"
"ABRE3";"SOMOS EDUCA - SOMOS EDUCAÇÃO S.A.";"";"";0.0;"ND";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"ABYA3";"ABYARA - ABYARA PLANEJAMENTO IMOBILIARIO S.A.";"Construção e Engenharia";"Construção Civil";4.91;"ON";5150880000.0;104906000.0;0.0;0.0;0.0;0.0;-2398000.0;0.0;0.0;0.0;""
"ACES3";"ARCELORMITTAL INOX BRASIL - ARCELORMITTAL INOX BRASIL S.A.";"Siderurgia e Metalurgia";"Siderurgia";95.27;"ON";70804700000.0;74320000.0;0.0;0.0;0.0;0.0;805922000.0;0.0;0.0;0.0;""
"ADHM3";"VITALYZE.ME - VITALYZE.ME SAUDE E TECNOLOGIA S.A.";"Prods. de Uso Pessoal e de Limpeza";"Produtos de Uso Pessoal";1.4;"PN";105882000.0;7563000.0;9385.0;0.0;0.0;0.0;-5196340.0;0.0;0.0;0.0;""
"AEDU3";"ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA - ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A";"Diversos";"Educacional";18.35;"ON";80202500000.0;437071000.0;0.0;0.0;0.0;0.0;135159000.0;0.0;0.0;0.0;""
"AELP3";"AES ELPA - AES ELPA SA";"Energia Elétrica";"Energia Elétrica";1.93;"ON";1813180000.0;93947000.0;0.0;0.0;0.1273;0.0;21369000.0;0.0;0.0;0.0;""
"AESL3";"AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A. - AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.";"Energia Elétrica";"Energia Elétrica";10081.9;"ON";53158400000.0;527266.0;0.0;0.0;0.0;0.0;159160000.0;0.0;0.0;0.0;""
