STOCK_CODE;COMPANY;SECTOR;SECOND_SECTOR; STOCK_PRICE ;STOCK_TYPE; VALUATION ;STOCK_AVAILABLE_AMOUNT;AVG_21_NEGOCIATION;DIVIDEND_PERIOD;DIVIDEND_LAST_PRICE;DIVIDEND_TOTAL_VALUE_SHARED;NET_PROFIT;DIVIDEND_YELD;AVG_PAYOUT_12_MONTHS;AVG_PAYOUT_5_YEARS;MAJOR_SHARE_HOLDER
AALR3;ALLIAR - CENTRO DE IMAGEM DIAGNOSTICOS S.A.;SaÃºde;ServiÃ§os MÃ©dico - Hospitalares, AnÃ¡lises e DiagnÃ³sticos; R$13,29 ;ON; R$1.572.110.000,00 ;118293000;3262490.0;0.0;0.0;0.0;10317000.0;0.0;0.0;0.0;
ABCB3;ABC Brasil - BANCO ABC BRASIL S/A;Financeiros;Bancos; R$-   ;ON; R$-   ;211133000;0.0;0.0;0.0;0.0;446918000.0;0.0;0.0;0.0;
ABYA3;ABYARA - ABYARA PLANEJAMENTO IMOBILIARIO S.A.;ConstruÃ§Ã£o e Engenharia;ConstruÃ§Ã£o Civil; R$4,91 ;ON; R$515.088.000,00 ;104906000;0.0;0.0;0.0;0.0;-2398000.0;0.0;0.0;0.0;
ACES3;ARCELORMITTAL INOX BRASIL - ARCELORMITTAL INOX BRASIL S.A.;Siderurgia e Metalurgia;Siderurgia; R$95,27 ;ON; R$7.080.470.000,00 ;74320000;0.0;0.0;0.0;0.0;805922000.0;0.0;0.0;0.0;
ADHM3;VITALYZE.ME - VITALYZE.ME SAUDE E TECNOLOGIA S.A.;Prods. de Uso Pessoal e de Limpeza;Produtos de Uso Pessoal; R$1,40 ;PN; R$10.588.200,00 ;7563000;9385.0;0.0;0.0;0.0;-5196340.0;0.0;0.0;0.0;
AEDU3;ANHANGUERA EDUCACIONAL PARTICIPAÃ‡Ã•ES SA - ANHANGUERA EDUCACIONAL PARTICIPAÃ‡Ã•ES S.A;Diversos;Educacional; R$18,35 ;ON; R$8.020.250.000,00 ;437071000;0.0;0.0;0.0;0.0;135159000.0;0.0;0.0;0.0;
AELP3;AES ELPA - AES ELPA SA;Energia ElÃ©trica;Energia ElÃ©trica; R$1,93 ;ON; R$181.318.000,00 ;93947000;0.0;0.0;0.1273;0.0;21369000.0;0.0;0.0;0.0;
AESL3;AES SUL DISTRIB. GAÃšCHA DE ENERGIA S.A. - AES SUL DISTRIB. GAÃšCHA DE ENERGIA S.A.;Energia ElÃ©trica;Energia ElÃ©trica; R$10.081,90 ;ON; R$5.315.840.000,00 ;527266;0.0;0.0;0.0;0.0;159160000.0;0.0;0.0;0.0;
AFLT3;AFLUENTE T - AFLUENTE TRANSMISSÃƒO DE ENERGIA ELÃ‰TRICA S/A;Energia ElÃ©trica;Energia ElÃ©trica; R$5,00 ;ON; R$315.425.000,00 ;63085000;3152.0;0.0;0.1044;11412000.0;13948000.0;0.036;0.818182;0.0;Iberdrola Energia S.A.
AFLU3;AFLUENTE - AFLUENTE GER.E TRANSM.ENERG.ELETR. S.A.;Energia ElÃ©trica;Energia ElÃ©trica; R$5,15 ;ON; R$96.912.700,00 ;18818000;0.0;0.0;0.2865;0.0;10594000.0;0.0;0.0;0.0;
AGEI3;AGRE EMP IMOB - AGRE EMPREENDIMENTOS IMOBILIÃRIOS S.A.;ConstruÃ§Ã£o e Engenharia;ConstruÃ§Ã£o Civil; R$7,80 ;ON; R$2.340.000.000,00 ;300000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
