STOCK_CODE,COMPANY,SECTOR,SECOND_SECTOR,STOCK_PRICE,STOCK_TYPE,VALUATION,STOCK_AVAILABLE_AMOUNT,AVG_21_NEGOCIATION,DIVIDEND_PERIOD,DIVIDEND_LAST_PRICE,DIVIDEND_TOTAL_VALUE_SHARED,NET_PROFIT,DIVIDEND_YELD,AVG_PAYOUT_12_MONTHS,AVG_PAYOUT_5_YEARS,MAJOR_SHARE_HOLDER
ABCB3,"ABC Brasil - BANCO ABC BRASIL S/A",Financeiros,Bancos,0.000000,ON,0.000000,211133000.000000,0.000000,0,0.000000,0.000000,446918000.000000,0.000000,0.000000,0.000000,
ABEV3,"AMBEV S/A - AMBEV S.A.",Bebidas,"Cervejas e Refrigerantes",16.550000,ON,260202000000.000000,15722100000.000000,301638000.000000,0,0.160000,8535532978.260871,10783700000.000000,0.033000,0.791522,0.000000,"Interbrew International BV"
ABYA3,"ABYARA - ABYARA PLANEJAMENTO IMOBILIARIO S.A.","Construção e Engenharia","Construção Civil",4.910000,ON,515088000.000000,104906000.000000,0.000000,0,0.000000,0.000000,-2398000.000000,0.000000,0.000000,0.000000,
ACES3,"ARCELORMITTAL INOX BRASIL - ARCELORMITTAL INOX BRASIL S.A.","Siderurgia e Metalurgia",Siderurgia,95.270000,ON,7080470000.000000,74320000.000000,0.000000,0,0.000000,0.000000,805922000.000000,0.000000,0.000000,0.000000,
ADHM3,"VITALYZE.ME - VITALYZE.ME SAUDE E TECNOLOGIA S.A.","Prods. de Uso Pessoal e de Limpeza","Produtos de Uso Pessoal",1.420000,PN,10739500.000000,7563000.000000,8896.000000,0,0.000000,0.000000,-5196340.000000,0.000000,0.000000,0.000000,
AEDU3,"ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA - ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A",Diversos,Educacional,18.350000,ON,8020250000.000000,437071000.000000,0.000000,0,0.000000,0.000000,135159000.000000,0.000000,0.000000,0.000000,
AELP3,"AES ELPA - AES ELPA SA","Energia Elétrica","Energia Elétrica",1.930000,ON,181318000.000000,93947000.000000,0.000000,0,0.127300,0.000000,21369000.000000,0.000000,0.000000,0.000000,
AESL3,"AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A. - AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.","Energia Elétrica","Energia Elétrica",10081.900000,ON,11346400000.000000,1125430.000000,0.000000,0,0.000000,0.000000,159160000.000000,0.000000,0.000000,0.000000,
AFLT3,"AFLUENTE T - AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A","Energia Elétrica","Energia Elétrica",4.950000,ON,312271000.000000,63085000.000000,4075.000000,0,0.104400,11297880.000000,13948000.000000,0.036000,0.810000,0.000000,"Iberdrola Energia S.A."
AFLU3,"AFLUENTE - AFLUENTE GER.E TRANSM.ENERG.ELETR. S.A.","Energia Elétrica","Energia Elétrica",5.150000,ON,96912700.000000,18818000.000000,0.000000,0,0.286500,0.000000,10594000.000000,0.000000,0.000000,0.000000,
AGEI3,"AGRE EMP IMOB - AGRE EMPREENDIMENTOS IMOBILIÁRIOS S.A.","Construção e Engenharia","Construção Civil",7.800000,ON,2340000000.000000,300000000.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
AGEN33,"Agrenco - AGRENCO LTD. ","Comércio e Distribuição",Alimentos,0.160000,PN,24649000.000000,154056000.000000,0.000000,0,0.000000,0.000000,98514000.000000,0.000000,0.000000,0.000000,
AGIN3,"Agra Incorp - AGRA EMPREENDIMENTOS IMOBILIÁRIOS S/A","Construção e Engenharia","Construção Civil",5.290000,ON,1265880000.000000,239297000.000000,0.000000,0,0.000000,0.000000,149671000.000000,0.000000,0.000000,0.000000,
AGRO3,"BRASILAGRO - BRASILAGRO - CIA BRAS DE PROP AGRICOLAS","Exploração de Imóveis","Exploração de Imóveis",16.300000,ON,927289000.000000,56888900.000000,869136.000000,0,0.762100,43569201.428571,242841000.000000,0.047000,0.179415,0.000000,"Autonomy Capital"
AHEB3,"PARQUE ANHEMBI - SAO PAULO TURISMO S.A.","Exploração de Imóveis","Exploração de Imóveis",40.000000,ON,300880000.000000,7522000.000000,4657.000000,0,0.000000,0.000000,-13477000.000000,0.000000,0.000000,0.000000,"Prefeitura do Município de São Paulo"
ALBA3,"DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO - DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO",,,2.150000,ON,0.000000,0.000000,0.000000,0,0.000000,0.000000,70162000.000000,0.000000,0.000000,0.000000,
ALLL3,"ALL - AMÉRICA LATINA LOGÍSTICA S/A - ALL AMERICA LATINA LOGISTICA SA",Transporte,"Transporte Ferroviário",3.970000,ON,6189290000.000000,1559020000.000000,0.000000,0,0.004500,0.000000,74689000.000000,0.000000,0.000000,0.000000,
ALPA3,"ALPARGATAS - SAO PAULO ALPARGATAS SA","Tecidos, Vestuário e Calçados",Calçados,17.300000,ON,8138780000.000000,470450000.000000,31611.000000,0,0.200800,202706096.153846,304645000.000000,0.025000,0.665385,0.000000,"HIGHCLERE INTERNATIONAL INVESTORS LLP"
ALSC3,"ALIANSCE - ALIANSCE SHOPPING CENTERS S.A.","Exploração de Imóveis","Exploração de Imóveis",19.430000,ON,3939160000.000000,202736000.000000,9569670.000000,0,0.116600,23596310.133333,91082000.000000,0.006000,0.259067,0.000000,"Government of Sinagapore Investment Corporation Pte Ltd "GIC""
ALUP3,"ALUPAR - ALUPAR INVESTIMENTOS S/A","Energia Elétrica","Energia Elétrica",7.000000,ON,6153780000.000000,879111000.000000,6245.000000,0,0.110000,210868000.000000,345540000.000000,0.034000,0.610256,0.000000,"Fundo de Investimento do Fundo de Garantia do Tempo de Serviço - FI-FGTS"
AMAR3,"LOJAS MARISA - MARISA LOJAS S.A.",Comércio,"Tecidos, Vestuário e Calçados",5.670000,ON,1157170000.000000,204086000.000000,6054940.000000,0,0.065400,0.000000,-131498000.000000,0.000000,0.000000,0.000000,"Rodrigo Terpins"
AMBV3,"AMBEV - COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV",Bebidas,"Cervejas e Refrigerantes",87.000000,ON,272509000000.000000,3132290000.000000,0.000000,0,0.000000,0.000000,10226600000.000000,0.000000,0.000000,0.000000,
AMIL3,"AMIL - AMIL PARTICIPAÇÕES S/A",Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",32.200000,ON,11809200000.000000,366746000.000000,0.000000,0,0.000000,0.000000,-161157000.000000,0.000000,0.000000,0.000000,
AMPI3,"AMPLA INVEST - AMPLA INVESTIMENTOS E SERVICOS S.A.","Energia Elétrica","Energia Elétrica",55.000000,ON,660000000.000000,12000000000.000000,0.000000,0,0.000000,0.000000,53200000.000000,0.000000,0.000000,0.000000,
ANIM3,"ANIMA - GAEC EDUCAÇÃO S.A.",Diversos,Educacional,18.750000,ON,1472930000.000000,78556000.000000,4569600.000000,0,0.253600,20422500.000000,31120000.000000,0.014000,0.656250,0.000000,"Dynamo Administração de Recursos Ltda."
