"STOCK_CODE";"COMPANY";"SECTOR";"SECOND_SECTOR";"STOCK_PRICE";"STOCK_TYPE";"VALUATION";"STOCK_AVAILABLE_AMOUNT";"AVG_21_NEGOCIATION";"DIVIDEND_PERIOD";"DIVIDEND_LAST_PRICE";"NET_PROFIT";"DIVIDEND_YELD";"AVG_PAYOUT_12_MONTHS";"AVG_PAYOUT_5_YEARS";"MAJOR_SHARE_HOLDER";"ROE";"ROE_5_YRS";"GROSS_DEBT_OVER_EBTIDA";"DIVIDEND_YIELD_5_YRS";"HAS_DIVIDEND_SRD_5_YERS";"HAS_DIVIDEND_GRWTH_5_YRS";"HAS_NET_PROFIT_REG_5_YRS";"DT_LAST_UPDATE"
"AALR3";"Centro de Imagem Diagnósticos S.A.";"Healthcare";"Diagnostics & Research";15.77;"ON";2460000000.0;118292816.0;122776.190476;-1.0;0.0;6652000.0;0.0;0.0;1e-06;"Fundo de Diagnósticos Para O Brasil  Fip";0.0148;0.0;0.0362;0.0;"1";"0";"0";"2019-03-03 06:32:40"
"ABCB3";"";"";"";0.0;"ON";0.0;189988101.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"Marsau Uruguay Holdings S.A.";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:33:06"
"ABCB4";"Banco ABC Brasil S.A.";"Financial Services";"Banks - Global";18.22;"PN";12760000000.0;189988101.0;471628.571429;-1.0;0.54;418086000.0;0.049;0.5415;0.465324;"Marsau Uruguay Holdings S.A.";0.1203;0.1409;-0.1535;0.0712;"1";"1";"1";"2019-03-03 06:33:38"
"ABEV3";"Ambev S.A.";"Consumer Defensive";"Beverages - Brewers";16.78;"ON";282820000000.0;15717615419.0;23317204.761905;-1.0;0.16;11024700000.0;0.0298;0.7857;0.910624;"Interbrew International Bv";0.2156;0.2397;-0.0043;0.0392;"1";"0";"1";"2019-03-03 06:34:04"
"ABRE3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:34:30"
"ABYA3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:34:56"
"ACES3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:35:23"
"ACES4";"";"";"";0.0;"PN";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:35:51"
"ADHM3";"Advanced Digital Health Medicina Preventiva S.A.";"Technology";"Health Information Services";1.63;"ON";17260000.0;7562598.0;34895.238095;-1.0;0.0;-5411000.0;0.0;0.0;0.0;"Metropolis Capital Markets Gmbh";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:36:24"
"AEDU11";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:36:53"
"AEDU3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:37:20"
"AELP3";"AES ELPA SA";"";"";0.0;"ON";0.0;93947427.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"Brasiliana Participações S.A.";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:37:44"
"AESL3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:38:12"
"AESL4";"";"";"";0.0;"PN";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:38:38"
"AFLT3";"Afluente Transmissão de Energia Elétrica S.A.";"Utilities";"Utilities - Regulated Electric";4.85;"ON";264740000.0;63084700.0;857.142857;-1.0;0.076133;22616000.0;0.0336;0.5014;0.845828;"Iberdrola Energia S.A.";0.1879;0.1866;0.0;0.0;"1";"0";"1";"2019-03-03 06:39:01"
"AFLU3";"AFLUENTE GER ENERG";"";"";0.0;"ON";0.0;18817732.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"Contour Global Do Brasil Participações Ltda";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:39:26"
"AFLU5";"AFLUENTE GER ENERG";"";"";0.0;"PN";0.0;18817732.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"Contour Global Do Brasil Participações Ltda";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:39:51"
"AGEI3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:40:16"
"AGEN33";"AGRENCO LTD";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:40:39"
"AGIN3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:41:05"
"AGRO3";"BrasilAgro - Companhia Brasileira de Propriedades Agrícolas";"Consumer Defensive";"Farm Products";15.88;"ON";1070000000.0;56888916.0;48195.238095;-1.0;0.762051;126338000.0;0.0477;0.1824;0.602584;"Cape Town Llc";0.2928;0.0979;0.0;0.0377;"1";"0";"1";"2019-03-03 06:41:29"
"AHEB3";"São Paulo Turismo S.A.";"Consumer Cyclical";"Leisure";49.9;"ON";432200000.0;5178719.0;57.190476;-1.0;0.0;-21053000.0;0.0;0.0;0.0;"Prefeitura Do Município de São Paulo";-0.5823;-0.2306;0.0;0.0;"1";"0";"1";"2019-03-03 06:41:55"
"AHEB5";"";"";"";0.0;"PN";0.0;5178719.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"Prefeitura Do Município de São Paulo";0.0;-0.2306;0.0;0.0;"1";"0";"0";"2019-03-03 06:42:22"
"AHEB6";"";"";"";0.0;"PN";0.0;5178719.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"Prefeitura Do Município de São Paulo";0.0;-0.2306;0.0;0.0;"1";"0";"0";"2019-03-03 06:42:48"
"ALBA3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:43:13"
"ALLL11";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:43:36"
"ALLL3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:44:03"
"ALLL4";"";"";"";0.0;"PN";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:44:26"
"ALPA3";"Alpargatas S.A.";"Consumer Cyclical";"Footwear & Accessories";19.64;"ON";9660000000.0;470449777.0;3228.571429;-1.0;0.0777;331500000.0;0.0;0.5989;0.687241;"J&f Investimentos S.A.";0.1369;0.1611;0.0013;0.0413;"1";"1";"1";"2019-03-03 06:44:53"
"ALPA4";"Alpargatas S.A.";"Consumer Cyclical";"Footwear & Accessories";19.22;"PN";9040000000.0;470449777.0;575052.380952;-1.0;0.08547;331500000.0;0.0198;0.6588;0.687241;"J&f Investimentos S.A.";0.1369;0.1682;0.0013;0.0446;"1";"1";"1";"2019-03-03 06:45:21"
"ALSC3";"Aliansce Shopping Centers S.A.";"Real Estate";"Real Estate Services";20.05;"ON";5730000000.0;202735921.0;533057.142857;-1.0;0.116618;94539000.0;0.0058;0.2635;0.0;"Canada Pension Plan Investment Board";0.0379;0.045;-0.0145;0.0155;"1";"0";"1";"2019-03-03 06:45:47"
"ALUP11";"Alupar Investimento S.A.";"Utilities";"Utilities - Regulated Electric";22.35;"ON";11160000000.0;879111269.0;1089300.0;-1.0;0.0;330885000.0;0.0;0.0;1.996497;"Fundo de Investimento Do Fundo de Garantia Do Tempo de Serviço - Fi-fgts";0.1239;0.1224;0.0234;0.0;"1";"0";"1";"2019-03-03 06:46:13"
"ALUP3";"Alupar Investimento S.A.";"Utilities";"Utilities - Regulated Electric";8.0;"ON";6960000000.0;879111269.0;1214.285714;-1.0;0.11;330885000.0;0.0;0.4575;1.996497;"Fundo de Investimento Do Fundo de Garantia Do Tempo de Serviço - Fi-fgts";0.1239;0.114;0.0234;0.0;"1";"0";"1";"2019-03-03 06:46:37"
"ALUP4";"Alupar Investimento S.A.";"Utilities";"Utilities - Regulated Electric";7.3;"PN";6690000000.0;879111269.0;1585.714286;-1.0;0.11;330885000.0;0.0;0.4575;1.996497;"Fundo de Investimento Do Fundo de Garantia Do Tempo de Serviço - Fi-fgts";0.1239;0.1224;0.0234;0.0;"1";"0";"1";"2019-03-03 06:47:00"
"AMAR3";"Marisa Lojas S.A.";"Consumer Cyclical";"Apparel Stores";6.08;"ON";2190000000.0;204085999.0;815923.809524;-1.0;0.0;-60438000.0;0.0;0.0;0.0;"Rodrigo Terpins";-0.1476;0.0453;0.0351;0.0;"1";"0";"0";"2019-03-03 06:47:24"
"AMBV3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:47:48"
"AMBV4";"";"";"";0.0;"PN";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:48:12"
"AMIL3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:48:35"
"AMPI3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:48:59"
"ANIM3";"Anima Holding S.A.";"Consumer Defensive";"Education & Training Services";18.34;"ON";1710000000.0;80944571.0;333290.47619;-1.0;0.2536;85152000.0;0.0026;0.1769;0.204356;"Peninsula Fundo de Investimento em Participações";0.0448;0.1527;0.0154;0.0;"1";"0";"1";"2019-03-03 06:49:24"
"AORE3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:49:49"
"APTI4";"SIDER JL ALIPERTI";"";"";0.0;"PN";0.0;18595.0;0.0;-1.0;0.0;0.0;0.0131;0.0;1.0;"S/c Joal Empreendimentos E Participações Ltda";0.0;0.0124;-0.0797;0.0;"1";"0";"0";"2019-03-03 06:50:11"
"ARCE3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:50:35"
"ARCZ3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:51:00"
"ARCZ6";"";"";"";0.0;"PN";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:51:25"
"ARLA3";"";"";"";0.0;"ON";0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;"";0.0;0.0;0.0;0.0;"1";"0";"0";"2019-03-03 06:51:48"
