STOCK_CODE,COMPANY,SECTOR,SECOND_SECTOR,STOCK_PRICE,STOCK_TYPE,VALUATION,STOCK_AVAILABLE_AMOUNT,AVG_21_NEGOCIATION,DIVIDEND_PERIOD,DIVIDEND_LAST_PRICE,NET_PROFIT,DIVIDEND_YELD,AVG_PAYOUT_12_MONTHS,AVG_PAYOUT_5_YEARS,MAJOR_SHARE_HOLDER,ROE,ROE_5_YRS,GROSS_DEBT_OVER_EBTIDA,DIVIDEND_YIELD_5_YRS,HAS_DIVIDEND_SRD_5_YERS,HAS_DIVIDEND_GRWTH_5_YRS,HAS_NET_PROFIT_REG_5_YRS,DT_LAST_UPDATE
AALR3,"Centro de Imagem Diagnósticos S.A.",Healthcare,"Diagnostics & Research",15.260000,,2470000000.000000,118292816.000000,229890.476190,-1,0.000000,6652000.000000,0.000000,0.000000,0.000001,"Fundo de Diagnósticos Para O Brasil  Fip",0.014800,0.000000,0.036200,0.000000,1,0,0,"2019-02-08 07:49:13"
ABCB3,,,,0.000000,,0.000000,189988101.000000,0.000000,-1,0.000000,0.000000,0.000000,0.000000,1.000000,"Marsau Uruguay Holdings S.A.",0.000000,0.000000,0.000000,0.000000,1,0,0,"2019-02-08 07:49:47"
ABCB4,"Banco ABC Brasil S.A.","Financial Services","Banks - Global",18.900000,,9400000000.000000,189988101.000000,598504.761905,-1,0.540000,418733000.000000,0.045800,0.493700,0.417167,"Marsau Uruguay Holdings S.A.",0.130500,0.147800,0.000000,0.067500,1,1,1,"2019-02-08 07:50:23"
ABEV3,"Ambev S.A.","Consumer Defensive","Beverages - Brewers",18.750000,,286850000000.000000,15717615419.000000,26796876.190476,-1,0.160000,7332000000.000000,0.027800,0.806000,0.962412,"Interbrew International Bv",0.205800,0.252000,-0.003500,0.048900,1,0,0,"2019-02-08 07:50:58"
ABRE3,,,,0.000000,,0.000000,0.000000,0.000000,-1,0.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,1,0,0,"2019-02-08 07:51:31"
ABYA3,,,,0.000000,,0.000000,0.000000,0.000000,-1,0.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,1,0,0,"2019-02-08 07:52:03"
ACES3,,,,0.000000,,0.000000,0.000000,0.000000,-1,0.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,1,0,0,"2019-02-08 07:52:38"
ACES4,,,,0.000000,,0.000000,0.000000,0.000000,-1,0.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,1,0,0,"2019-02-08 07:53:15"
ADHM3,"Advanced Digital Health Medicina Preventiva S.A.",Technology,"Health Information Services",1.610000,,18090000.000000,7562598.000000,26476.190476,-1,0.000000,-5411000.000000,0.000000,0.000000,0.000000,"Metropolis Capital Markets Gmbh",0.000000,0.000000,0.000000,0.000000,1,0,0,"2019-02-08 07:53:51"
AEDU11,,,,0.000000,,0.000000,0.000000,0.000000,-1,0.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,1,0,0,"2019-02-08 07:54:24"
AEDU3,,,,0.000000,,0.000000,0.000000,0.000000,-1,0.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,0.000000,0.000000,0.000000,1,0,0,"2019-02-08 07:55:00"
